group,model_label,display_model,question_id,condition,n,mean,sem,formatted
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q1,prior,10,0.0,0.0,0.0 (0.0)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q1,baseline,10,0.0,0.0,0.0 (0.0)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q1,argument_a,10,0.0,0.0,0.0 (0.0)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q1,argument_b,10,5.5,0.5,5.5 (0.5)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q2,prior,10,83.0,1.105542,83.0 (1.1)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q2,baseline,10,68.0,2.494438,68.0 (2.5)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q2,argument_a,10,65.0,0.0,65.0 (0.0)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q2,argument_b,10,81.0,1.795055,81.0 (1.8)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q3,prior,10,91.0,1.0,91.0 (1.0)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q3,baseline,10,87.0,0.816497,87.0 (0.8)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q3,argument_a,10,89.7,1.40673,89.7 (1.4)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q3,argument_b,10,85.5,0.5,85.5 (0.5)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q4,prior,10,24.0,5.364492,24.0 (5.4)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q4,baseline,10,27.5,4.232808,27.5 (4.2)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q4,argument_a,10,32.5,2.813657,32.5 (2.8)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q4,argument_b,10,5.5,0.5,5.5 (0.5)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q5,prior,10,64.5,1.57233,64.5 (1.6)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q5,baseline,10,35.5,2.409472,35.5 (2.4)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q5,argument_a,10,64.0,1.0,64.0 (1.0)
US frontier models,openai_gpt_5_5_none,openai/ChatGPT 5.5 (none),Q5,argument_b,10,63.5,1.5,63.5 (1.5)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q1,prior,10,0.5,0.5,0.5 (0.5)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q1,baseline,10,0.0,0.0,0.0 (0.0)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q1,argument_a,10,0.0,0.0,0.0 (0.0)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q1,argument_b,10,1.0,0.666667,1.0 (0.7)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q2,prior,10,78.5,1.067187,78.5 (1.1)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q2,baseline,10,71.0,0.666667,71.0 (0.7)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q2,argument_a,10,69.5,0.897527,69.5 (0.9)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q2,argument_b,10,83.0,1.105542,83.0 (1.1)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q3,prior,10,84.5,1.384437,84.5 (1.4)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q3,baseline,10,86.0,1.0,86.0 (1.0)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q3,argument_a,10,84.0,2.081666,84.0 (2.1)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q3,argument_b,10,83.5,1.5,83.5 (1.5)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q4,prior,10,13.5,1.067187,13.5 (1.1)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q4,baseline,10,14.5,1.384437,14.5 (1.4)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q4,argument_a,10,15.0,1.666667,15.0 (1.7)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q4,argument_b,10,6.5,1.301708,6.5 (1.3)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q5,prior,10,67.0,0.816497,67.0 (0.8)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q5,baseline,10,61.0,2.768875,61.0 (2.8)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q5,argument_a,10,69.0,1.452966,69.0 (1.5)
US frontier models,openai_gpt_5_5_high,openai/ChatGPT 5.5 (high),Q5,argument_b,10,74.0,1.247219,74.0 (1.2)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q1,prior,10,31.0,2.081666,31.0 (2.1)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q1,baseline,10,15.0,0.0,15.0 (0.0)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q1,argument_a,10,12.0,0.816497,12.0 (0.8)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q1,argument_b,10,35.0,0.0,35.0 (0.0)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q2,prior,10,72.7,1.229724,72.7 (1.2)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q2,baseline,10,70.0,0.0,70.0 (0.0)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q2,argument_a,10,61.4,0.305505,61.4 (0.3)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q2,argument_b,10,72.0,0.0,72.0 (0.0)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q3,prior,10,86.0,1.0,86.0 (1.0)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q3,baseline,10,84.4,0.4,84.4 (0.4)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q3,argument_a,10,84.4,0.4,84.4 (0.4)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q3,argument_b,10,84.7,0.3,84.7 (0.3)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q4,prior,10,30.0,0.0,30.0 (0.0)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q4,baseline,10,32.9,1.629247,32.9 (1.6)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q4,argument_a,10,54.4,0.4,54.4 (0.4)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q4,argument_b,10,19.9,1.552417,19.9 (1.6)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q5,prior,10,45.0,0.0,45.0 (0.0)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q5,baseline,10,44.0,1.0,44.0 (1.0)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q5,argument_a,10,44.2,1.041367,44.2 (1.0)
US frontier models,anthropic_claude_sonnet_4_6_low,anthropic/Claude Sonnet 4.6 (low),Q5,argument_b,10,63.1,0.737111,63.1 (0.7)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q1,prior,10,23.5,1.5,23.5 (1.5)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q1,baseline,10,15.2,0.61101,15.2 (0.6)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q1,argument_a,10,14.3,0.789515,14.3 (0.8)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q1,argument_b,10,28.5,2.587362,28.5 (2.6)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q2,prior,10,69.2,1.143095,69.2 (1.1)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q2,baseline,10,64.4,0.4,64.4 (0.4)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q2,argument_a,10,65.2,0.61101,65.2 (0.6)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q2,argument_b,10,71.3,0.7,71.3 (0.7)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q3,prior,10,92.0,0.869227,92.0 (0.9)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q3,baseline,10,87.2,1.297861,87.2 (1.3)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q3,argument_a,10,88.9,1.24231,88.9 (1.2)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q3,argument_b,10,85.2,2.690725,85.2 (2.7)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q4,prior,10,46.6,3.393458,46.6 (3.4)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q4,baseline,10,53.9,3.284475,53.9 (3.3)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q4,argument_a,10,55.6,2.679967,55.6 (2.7)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q4,argument_b,10,33.7,1.256538,33.7 (1.3)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q5,prior,10,43.2,1.671991,43.2 (1.7)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q5,baseline,10,43.0,1.699673,43.0 (1.7)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q5,argument_a,10,40.2,1.836664,40.2 (1.8)
US frontier models,anthropic_claude_sonnet_4_6_high_thinking,anthropic/Claude Sonnet 4.6 (high),Q5,argument_b,10,63.2,1.339983,63.2 (1.3)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q1,prior,10,100.0,0.0,100.0 (0.0)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q1,baseline,10,0.0,0.0,0.0 (0.0)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q1,argument_a,10,0.0,0.0,0.0 (0.0)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q1,argument_b,10,22.5,9.044642,22.5 (9.0)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q2,prior,10,77.0,8.171767,77.0 (8.2)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q2,baseline,10,37.0,11.930353,37.0 (11.9)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q2,argument_a,10,31.5,13.764891,31.5 (13.8)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q2,argument_b,10,58.0,13.232955,58.0 (13.2)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q3,prior,10,82.0,9.285592,82.0 (9.3)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q3,baseline,10,51.8,14.803003,51.8 (14.8)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q3,argument_a,10,39.5,16.132266,39.5 (16.1)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q3,argument_b,10,54.5,14.952703,54.5 (15.0)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q4,prior,10,8.5,5.479761,8.5 (5.5)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q4,baseline,10,10.0,10.0,10.0 (10.0)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q4,argument_a,10,1.0,1.0,1.0 (1.0)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q4,argument_b,10,0.0,0.0,0.0 (0.0)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q5,prior,10,32.0,13.063945,32.0 (13.1)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q5,baseline,10,35.0,13.123346,35.0 (13.1)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q5,argument_a,10,4.0,4.0,4.0 (4.0)
Larger models,together_deepseek_v4_pro,deepseek-ai/DeepSeek-V4-Pro,Q5,argument_b,10,58.0,11.135529,58.0 (11.1)
Larger models,together_glm_5,zai-org/GLM-5,Q1,prior,10,88.5,6.457124,88.5 (6.5)
Larger models,together_glm_5,zai-org/GLM-5,Q1,baseline,10,0.0,0.0,0.0 (0.0)
Larger models,together_glm_5,zai-org/GLM-5,Q1,argument_a,10,47.5,12.7421,47.5 (12.7)
Larger models,together_glm_5,zai-org/GLM-5,Q1,argument_b,10,41.9,9.670631,41.9 (9.7)
Larger models,together_glm_5,zai-org/GLM-5,Q2,prior,10,86.0,2.867442,86.0 (2.9)
Larger models,together_glm_5,zai-org/GLM-5,Q2,baseline,10,86.6,6.20967,86.6 (6.2)
Larger models,together_glm_5,zai-org/GLM-5,Q2,argument_a,10,96.0,0.666667,96.0 (0.7)
Larger models,together_glm_5,zai-org/GLM-5,Q2,argument_b,10,94.0,1.0,94.0 (1.0)
Larger models,together_glm_5,zai-org/GLM-5,Q3,prior,10,94.5,1.166667,94.5 (1.2)
Larger models,together_glm_5,zai-org/GLM-5,Q3,baseline,10,99.0,0.666667,99.0 (0.7)
Larger models,together_glm_5,zai-org/GLM-5,Q3,argument_a,10,97.5,0.833333,97.5 (0.8)
Larger models,together_glm_5,zai-org/GLM-5,Q3,argument_b,10,90.5,2.833333,90.5 (2.8)
Larger models,together_glm_5,zai-org/GLM-5,Q4,prior,10,23.0,11.647603,23.0 (11.6)
Larger models,together_glm_5,zai-org/GLM-5,Q4,baseline,10,58.0,15.513435,58.0 (15.5)
Larger models,together_glm_5,zai-org/GLM-5,Q4,argument_a,10,97.6,0.748331,97.6 (0.7)
Larger models,together_glm_5,zai-org/GLM-5,Q4,argument_b,10,69.5,10.446956,69.5 (10.4)
Larger models,together_glm_5,zai-org/GLM-5,Q5,prior,10,43.5,5.479761,43.5 (5.5)
Larger models,together_glm_5,zai-org/GLM-5,Q5,baseline,10,62.0,9.723968,62.0 (9.7)
Larger models,together_glm_5,zai-org/GLM-5,Q5,argument_a,10,73.0,6.716481,73.0 (6.7)
Larger models,together_glm_5,zai-org/GLM-5,Q5,argument_b,10,76.7,6.880003,76.7 (6.9)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q1,prior,10,0.0,0.0,0.0 (0.0)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q1,baseline,10,0.0,0.0,0.0 (0.0)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q1,argument_a,10,0.0,0.0,0.0 (0.0)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q1,argument_b,10,22.0,7.571878,22.0 (7.6)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q2,prior,10,80.0,0.0,80.0 (0.0)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q2,baseline,10,30.0,8.164966,30.0 (8.2)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q2,argument_a,10,0.0,0.0,0.0 (0.0)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q2,argument_b,10,82.0,2.0,82.0 (2.0)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q3,prior,10,100.0,0.0,100.0 (0.0)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q3,baseline,10,60.0,6.666667,60.0 (6.7)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q3,argument_a,10,100.0,0.0,100.0 (0.0)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q3,argument_b,10,100.0,0.0,100.0 (0.0)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q4,prior,10,79.0,1.0,79.0 (1.0)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q4,baseline,10,100.0,0.0,100.0 (0.0)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q4,argument_a,10,100.0,0.0,100.0 (0.0)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q4,argument_b,10,0.0,0.0,0.0 (0.0)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q5,prior,10,60.0,0.0,60.0 (0.0)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q5,baseline,10,0.0,0.0,0.0 (0.0)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q5,argument_a,10,0.0,0.0,0.0 (0.0)
Larger models,together_llama_3_3_70b_turbo,meta-llama/Llama-3.3-70B-Instruct-Turbo,Q5,argument_b,10,80.0,0.0,80.0 (0.0)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q1,prior,10,0.0,0.0,0.0 (0.0)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q1,baseline,10,0.0,0.0,0.0 (0.0)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q1,argument_a,10,0.0,0.0,0.0 (0.0)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q1,argument_b,10,20.0,8.164966,20.0 (8.2)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q2,prior,10,82.0,5.734884,82.0 (5.7)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q2,baseline,10,50.0,0.0,50.0 (0.0)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q2,argument_a,10,25.0,8.333333,25.0 (8.3)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q2,argument_b,10,95.0,0.0,95.0 (0.0)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q3,prior,10,95.0,0.0,95.0 (0.0)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q3,baseline,10,98.0,0.816497,98.0 (0.8)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q3,argument_a,10,97.5,0.833333,97.5 (0.8)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q3,argument_b,10,90.5,4.5,90.5 (4.5)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q4,prior,10,40.0,12.041595,40.0 (12.0)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q4,baseline,10,27.0,7.717225,27.0 (7.7)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q4,argument_a,10,76.0,12.666667,76.0 (12.7)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q4,argument_b,10,67.0,14.263395,67.0 (14.3)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q5,prior,10,39.5,4.621808,39.5 (4.6)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q5,baseline,10,44.0,8.089774,44.0 (8.1)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q5,argument_a,10,10.5,3.685557,10.5 (3.7)
Larger models,together_qwen3_5_397b_a17b,qwen/Qwen3.5-397B-A17B,Q5,argument_b,10,91.0,1.632993,91.0 (1.6)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q1,prior,10,1.0,0.666667,1.0 (0.7)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q1,baseline,10,0.0,0.0,0.0 (0.0)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q1,argument_a,10,0.7,0.517472,0.7 (0.5)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q1,argument_b,10,1.0,0.666667,1.0 (0.7)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q2,prior,10,69.1,1.538036,69.1 (1.5)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q2,baseline,10,50.4,1.726911,50.4 (1.7)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q2,argument_a,10,50.4,3.180496,50.4 (3.2)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q2,argument_b,10,47.8,3.424747,47.8 (3.4)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q3,prior,10,88.7,0.830662,88.7 (0.8)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q3,baseline,10,87.3,0.978093,87.3 (1.0)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q3,argument_a,10,84.8,1.171893,84.8 (1.2)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q3,argument_b,10,83.6,1.407914,83.6 (1.4)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q4,prior,10,18.0,2.260777,18.0 (2.3)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q4,baseline,10,32.5,3.095696,32.5 (3.1)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q4,argument_a,10,48.7,3.744774,48.7 (3.7)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q4,argument_b,10,5.5,2.291288,5.5 (2.3)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q5,prior,10,23.5,1.979057,23.5 (2.0)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q5,baseline,10,16.0,2.560382,16.0 (2.6)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q5,argument_a,10,23.5,2.793842,23.5 (2.8)
Larger models,together_gpt_oss_120b,openai/gpt-oss-120b,Q5,argument_b,10,28.5,4.017324,28.5 (4.0)
Larger models,together_gemma_4_31b_it,google/gemma-4-31B-it,Q1,prior,10,0.0,0.0,0.0 (0.0)
Larger models,together_gemma_4_31b_it,google/gemma-4-31B-it,Q1,baseline,10,0.0,0.0,0.0 (0.0)
Larger models,together_gemma_4_31b_it,google/gemma-4-31B-it,Q1,argument_a,10,0.0,0.0,0.0 (0.0)
Larger models,together_gemma_4_31b_it,google/gemma-4-31B-it,Q1,argument_b,10,0.0,0.0,0.0 (0.0)
Larger models,together_gemma_4_31b_it,google/gemma-4-31B-it,Q2,prior,10,50.0,0.0,50.0 (0.0)
Larger models,together_gemma_4_31b_it,google/gemma-4-31B-it,Q2,baseline,10,50.0,0.0,50.0 (0.0)
Larger models,together_gemma_4_31b_it,google/gemma-4-31B-it,Q2,argument_a,10,50.0,0.0,50.0 (0.0)
Larger models,together_gemma_4_31b_it,google/gemma-4-31B-it,Q2,argument_b,10,50.0,0.0,50.0 (0.0)
Larger models,together_gemma_4_31b_it,google/gemma-4-31B-it,Q3,prior,10,50.0,0.0,50.0 (0.0)
Larger models,together_gemma_4_31b_it,google/gemma-4-31B-it,Q3,baseline,10,50.0,0.0,50.0 (0.0)
